Day,January,February,March,April,May,June,July,August,September,October,November,December
1,270,199,108,114,92,96,46,49,60,64,150,148
2,219,132,109,103,99,117,55,42,59,78,195,112
3,183,114,99,132,150,80,44,37,34,84,175,138
4,161,134,68,154,206,66,58,28,45,94,196,130
5,181,161,100,101,153,82,49,38,45,111,182,172
6,148,149,100,89,71,76,41,48,58,93,206,206
7,147,114,97,98,75,66,42,49,50,98,234,156
8,133,120,117,106,81,89,44,48,39,127,226,190
9,149,94,108,95,78,107,49,49,48,130,149,84
10,142,116,134,110,63,88,62,48,49,124,140,75
11,118,200,143,64,84,96,43,41,44,83,128,101
12,100,110,108,77,116,74,56,43,60,64,116,176
13,127,118,95,78,96,62,60,52,51,58,134,167
14,99,108,95,86,102,64,37,43,70,66,150,110
15,114,148,112,111,87,50,46,47,73,90,164,119
16,108,130,137,74,143,55,56,47,58,113,186,149
17,188,154,116,96,96,52,68,51,70,157,180,164
18,161,136,88,141,50,48,38,58,62,132,187,172
19,120,116,85,119,67,44,44,58,81,84,150,215
20,160,98,74,90,74,45,34,42,90,73,182,204
21,212,100,94,80,88,38,26,52,88,95,238,172
22,214,76,123,80,99,42,32,66,82,194,224,152
23,234,102,146,73,93,52,42,46,72,193,221,153
24,164,123,165,79,102,55,35,34,67,98,208,199
25,97,146,156,66,139,50,34,28,56,99,142,141
26,183,166,92,62,143,43,46,39,69,66,120,100
27,175,108,150,111,99,37,35,50,50,95,113,106
28,162,84,118,104,97,38,27,50,50,83,117,66
29,226,116,122,99,108,31,37,49,56,102,140,64
30,182,,118,114,101,48,36,52,66,137,210,94
31,218,,121,,107,,48,41,,128,,124
 ,,,,,,,,,,,,
Good,,,,,1,12,24,24,10,,,
Satisfactory,3,5,12,17,18,16,7,7,20,19,,6
Moderate,21,24,19,13,11,2,,,,12,22,22
Poor,7,,,,1,,,,,,8,3
Very poor,,,,,,,,,,,,
Severe,,,,,,,,,,,,
,,,,,,,,,,,,
SP,,,,,,,,,,,,
% of Availability,100,100,100,100,100,100,100,100,100,100,100,100
